id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
ifd0185;IFD0185 | IFD0181;FISICA 3 EXPERIMENTAL;98;60;IFD0179 E IFD0181 E MAT0026 OU ENE0177;;exatas;OPT;2M1234, 2T2345, 3M1234, 4M1234, 6M1234, 6T2345
ifd0210;IFD0210 | IFD0256;FISICA MODERNA 1;98;90;;;exatas;OPT;35N34
ifd0217;IFD0217 | IFD0427;FISICA MODERNA 2;98;90;IFD0210 OU IFD0171 E MAT0025;;exatas;OPT;24N12
ifd0299;IFD0299;FISICA 1 PARA QUIMICA;98;60;;;exatas;OPT;Nao Ofertada
ifd0302;IFD0302 | IFD0173;FISICA 1 EXPERIMENTAL;98;30;;;exatas;OPT;2M34, 2T23, 3M12, 3M34, 3T23, 4M12, 4M34, 4N34, 4T23, 5M12, 5M34, 5T23, 5T45, 6M12, 6M34, 6T23, 6T45, 7M34
igd0182;IGD0182;INTRODUCAO AO ELETROMAGNETISMO;98;60;MAT0026 E IFD0171 E ECL0030 OU MAT0026 E IFD0175;;exatas;OPT;2T2345
igd0043;IGD0043;TOPOGRAFIA FOTOGRAMETRIA;98;90;;;exatas;OPT;Nao Ofertada
iqd0015;IQD0015;PROJETO DE ENGENHARIA QUIMICA 1;98;30;ENM0190 E IQD0012 E IQD0014 E IQD0048 OU ENC0053 E IQD0012 E IQD0014 E IQD0048;;exatas;OPT;2T45
mat0048;MAT0048;EQUACOES DIFERENCIAIS 1;98;60;MAT0026;;exatas;OPT;Nao Ofertada
pol0004;POL0004 | POL0005;PRATICA DE ENSINO EM INTRODUCAO A CIENCIA POLITICA;98;60;;;humanas;OPT;7N1234
pst0034;PST0034;ERGONOMIA;98;90;;;humanas;OPT;Nao Ofertada
